Address,Latitude,Longitude,Distance (ft),Location Type
"920 N BOIS D ARC AVE TYLER Texas 75702","32.3601274342517","-95.3031422320734","1011","Commercial"
"206 W BOW ST TYLER Texas 75702","32.3577602371057","-95.3021159978433","174","Commercial"
"1001 N BOIS D ARC AVE TYLER Texas 75702","32.3603857301078","-95.3025915827149","931","Commercial"
"800 NORTH BROADWAY AVENUE TYLER Texas 75702","32.3584327288066","-95.3011532964013","235","Commercial"
"206 W BOW ST TYLER Texas 75702","32.3577570031697","-95.3019209296144","175","Commercial"
"812 N BOIS D ARC AVE TYLER Texas 75702","32.3589385057017","-95.303113858912","344","Commercial"
"214 W BOW ST TYLER Texas 75702","32.3579915652958","-95.302442542205","90","Commercial"
"215 VALENTINE ST TYLER Texas 75702","32.3590003556423","-95.2987950567927","1314","Commercial"
"714 PABST AVE TYLER Texas 75702","32.3570003708333","-95.2981220939562","2032","Commercial"
"723 N BROADWAY AVE TYLER Texas 75702","32.357956781667","-95.299765490847","861","Commercial"
"810 N COLLEGE AVE TYLER Texas 75702","32.3587502452807","-95.3020569930374","36","Commercial"
"904 N BOIS D ARC AVE TYLER Texas 75702","32.359265731714","-95.3032979093856","734","Commercial"
"633 N BROADWAY AVE TYLER Texas 75702","32.3568631827508","-95.2999344063714","1309","Commercial"
"205 WEST GENTRY PARKWAY TYLER Texas 75702","32.3600885457543","-95.3021356767667","681","Commercial"
"400 N BROADWAY AVE TYLER Texas 75702","32.3536356724225","-95.3014610735645","2364","Commercial"
"526 N SPRING AVE TYLER Texas 75702","32.3557245766629","-95.2997720483823","1657","Commercial"
"120 GOODMAN ST TYLER Texas 75702","32.3550888118015","-95.301583909021","1801","Commercial"
"523 NORTH BROADWAY AVENUE TYLER Texas 75702","32.3554962273111","-95.2998413068723","1760","Commercial"
"417 W OAKWOOD ST TYLER Texas 75702","32.3556349879731","-95.3040137661261","1324","Commercial"
"412 N SPRING AVE TYLER Texas 75702","32.3541421704685","-95.2998423671669","2243","Commercial"
"509 N COLLEGE AVE TYLER Texas 75702","32.354920555684","-95.3015825981593","1862","Commercial"
"522 N BROADWAY AVE TYLER Texas 75702","32.3551333871686","-95.3010840122608","1533","Commercial"
"321 N BOIS D ARC AVE TYLER Texas 75702","32.3538184184125","-95.3024733813364","1726","Commercial"
"504 NORTH BOIS D ARC AVENUE TYLER Texas 75702","32.3553383822617","-95.3035560648029","1720","Commercial"
