Address,Latitude,Longitude,Distance (ft),Location Type
"210 E BERTA ST TYLER Texas 75702","32.3603364238116","-95.2988586033493","969","Commercial"
"606 E GENTRY PKWY TYLER Texas 75702","32.3601618771018","-95.2948228551409","2166","Commercial"
"520 W BOW ST TYLER Texas 75702","32.3579662979597","-95.3058394602954","1389","Commercial"
"707 BORDER AVE TYLER Texas 75702","32.3574339241265","-95.3061281257449","1805","Commercial"
"612 BORDER AVE TYLER Texas 75702","32.3565572933504","-95.3065415977145","2123","Commercial"
"722 BORDER AVE TYLER Texas 75702","32.3580640313924","-95.3064856297603","1557","Commercial"
"702 W BOW ST TYLER Texas 75702","32.3580126712255","-95.3077436064632","1968","Commercial"
"624 W BOW ST TYLER Texas 75702","32.3579673057312","-95.3074155624864","1993","Commercial"
"530 BORDER AVENUE TYLER Texas 75702","32.355870722823","-95.30652837584","2388","Commercial"
"500 VALENTINE ST TYLER Texas 75702","32.3593853562266","-95.2961279433944","1457","Commercial"
"908 N BECKHAM AVE TYLER Texas 75702","32.3595352691413","-95.2938786980112","2348","Commercial"
"803 N SPRING AVE TYLER Texas 75702","32.3584271031498","-95.2992727708153","153","Commercial"
"902 N BECKHAM AVE TYLER Texas 75702","32.3590372748363","-95.2940227471171","2335","Commercial"
"600 E BOW ST TYLER Texas 75702","32.3585078746304","-95.2949234629203","1541","Commercial"
"","32.3584725554879","-95.2947556973821","1579","Commercial"
"618 VALENTINE ST TYLER Texas 75702","32.3594362945354","-95.2944168822684","2002","Commercial"
"820 CARLYLE AVE TYLER Texas 75702","32.3589447237668","-95.2952747004074","1698","Commercial"
"820 CARLYLE AVE TYLER Texas 75702","32.3590789527838","-95.2952339370245","1733","Commercial"
"601 VALENTINE ST TYLER Texas 75702","32.3588180262688","-95.2948352454608","1682","Commercial"
"601 VALENTINE ST TYLER Texas 75702","32.3589518977775","-95.2948583989446","1725","Commercial"
"210 EAST OAKWOOD STREET TYLER Texas 75702","32.3547591029565","-95.298801533762","1588","Commercial"
"825 N BECKHAM AVE TYLER Texas 75702","32.3588791093542","-95.2935063139673","2342","Commercial"
"726 WEST BOW STREET TYLER Texas 75702","32.3580195761007","-95.3088389021391","2307","Commercial"
"525 NORTH SPRING AVENUE TYLER Texas 75702","32.3557768489646","-95.2988062290689","1098","Commercial"
"525 NORTH SPRING AVENUE TYLER Texas 75702","32.3559372135289","-95.2987798854604","1086","Commercial"
"315 N BROADWAY AVE TYLER Texas 75702","32.3534317623949","-95.3002734825406","1873","Commercial"
"623 W BOW ST TYLER Texas 75702","32.3583282314562","-95.3074035357802","1866","Commercial"
"100 E FERGUSON ST TYLER Texas 75702","32.3520468441179","-95.300264252284","2375","Commercial"
"","32.3538841628613","-95.2981333467265","2251","Commercial"
"512 NORTH SPRING AVENUE TYLER Texas 75702","32.3551861475132","-95.2999359234033","1233","Commercial"
"525 N SPRING AVE TYLER Texas 75702","32.355406126871","-95.2992944058664","1120","Commercial"
"217 E OAKWOOD ST TYLER Texas 75702","32.3544489035951","-95.2988493415315","1664","Commercial"
"902 BORDER AVE TYLER Texas 75702","32.3593374064152","-95.3066983498324","1912","Commercial"
"701 W GENTRY PKWY TYLER Texas 75702","32.3600827174531","-95.3078946690175","2339","Commercial"
